weburl,Not Relevant,Paragraph Structure,Data Collection,Consent,Responsible Use,Third-Parties,User-Rights,Overall,Comment
www.reshapelifesciences.com,0,1,0,1,1,1,0,1,
www.navigant.com,0,1,0,0,1,1,1,1,
www.transalta.com,1,/,/,/,/,/,/,/,
www.thehackettgroup.com,0,1,0,0,1,1,1,1,Clear
www.gamestop.com,0,1,-1,0,0,0,-1,-1,Extensive data collection
www.salisburybank.com,0,1,-1,0,-1,0,-1,-1,Missing key components
www.uniroyalglobal.com,0,1,0,0,0,0,-1,0,Missing rights
www.iwsinc.com,0,1,0,0,0,0,-1,0,Missing rights
www.chicagorivet.com,0,1,0,0,0,0,-1,0,Missing rights
www.capps.com,0,1,1,0,0,0,1,1,
www.ducommun.com,0,1,1,1,1,1,1,1,Clear
www.walgreensbootsalliance.com,0,1,0,0,0,0,-1,0,Missing rights
www.tangeroutlet.com,0,1,1,0,1,1,1,1,
www.homecityfederal.com,0,1,0,0,-1,-1,-1,-1,Missing key components
www.firstdata.com/en_us/home.html,1,/,/,/,/,/,/,/,
www.resmed.com,0,1,0,0,-1,0,0,0,
www.wellsfargo.com,0,1,-1,0,-1,0,-1,-1,Unclear
rvlti.com,0,1,0,0,0,0,-1,0,Missing rights
www.loxooncology.com,0,1,-1,0,-1,0,0,-1,Extensive data collection
www.cytori.com,0,1,0,0,0,0,0,0,
www.kaman.com,0,1,-1,0,-1,-1,-1,-1,Missing key components
www.cnoinc.com,0,1,-1,0,-1,-1,-1,-1,Missing key components
www.chevron.com,0,1,1,1,1,1,1,1,Clear
www.killamproperties.com,0,1,1,0,1,1,0,1,
www.aratana.com,0,1,0,0,0,-1,-1,-1,Extensive sharing
www.synthesisenergy.com,0,1,0,-1,0,0,-1,-1,Missing key components
www.quakerchem.com,0,1,0,0,0,0,-1,0,Missing rights
www.omnicomgroup.com,0,1,0,0,0,0,0,0,
www.widepoint.com,0,1,0,0,0,0,-1,0,Missing rights
www.ericsson.com,0,1,0,0,-1,1,1,1,
www.viewray.com,0,1,0,0,0,0,0,-1,Unclear
www.remax.com,0,1,0,0,0,0,0,0,
www.arenapharm.com,0,1,0,0,0,0,0,0,
primowater.com,0,1,-1,0,-1,-1,-1,-1,Unclear
www.pieris.com,0,1,-1,0,0,0,1,0,Extensive data collection
www.jbtcorporation.com,1,/,/,/,/,/,/,/,
www.mobileiron.com,0,1,-1,0,-1,0,0,0,Extensive data collection
www.trans-globe.com,0,1,0,0,0,0,-1,0,Missing rights
www.forterrabp.com,1,/,/,/,/,/,/,/,
bachoco.com.mx,0,1,-1,0,-1,-1,1,-1,Missing key components
www.wilhelmina.com,1,/,/,/,/,/,/,/,
www.teligent.com,0,1,0,0,0,0,-1,0,Missing rights
www.xenon-pharma.com,1,/,/,/,/,/,/,/,
www.ufginsurance.com,1,/,/,/,/,/,/,/,
www.circor.com,0,1,1,0,1,1,1,1,
www.barrettbusiness.com,0,1,0,0,0,0,-1,0,Missing rights
www.navigatorgas.com,1,/,/,/,/,/,/,/,
www.mdsol.com,0,1,0,0,1,1,1,1,Clear
www.syndax.com,0,1,1,0,1,1,0,1,
www.pharmabioserv.com,0,1,0,0,0,0,0,0,
www.bio-rad.com,0,1,-1,0,1,1,1,1,Third-party assurance
www.hollyfrontier.com,0,1,-1,0,0,-1,-1,-1,Missing key components
www.3dsystems.com,0,1,-1,0,1,1,1,1,
www.invacare.com,0,1,1,0,1,1,-1,0,Missing rights
www.xpresspagroup.com,0,1,0,0,0,0,0,-1,Unclear
www.avangrid.com,0,1,0,0,0,0,0,0,
www.visteon.com,0,1,0,0,0,0,0,0,
www.ctrip.com,0,1,-1,0,0,0,-1,-1,Missing rights
www.simmonsbank.com,0,1,-1,0,-1,0,0,-1,Missing key components
www.slginc.com,0,1,0,0,0,0,-1,0,Missing rights
www.impinj.com,0,1,0,0,1,1,-1,0,
www.americannational.com,0,1,-1,0,-1,-1,-1,-1,Missing key components
gdi.com,1,/,/,/,/,/,/,/,
www.group1auto.com,0,1,1,0,1,1,-1,0,Missing rights
www.bakerboyer.com,0,1,-1,0,-1,0,-1,-1,Missing key components
www.hbfuller.com,0,1,0,0,0,0,0,0,
www.hydroone.com,1,/,/,/,/,/,/,/,
www.pega.com,0,1,1,0,1,1,1,1,Clear
www.thekrogerco.com,1,/,/,/,/,/,/,/,
www.globexmining.com,0,1,-1,0,0,-1,-1,-1,Missing key components
www.dynasil.com,0,1,0,0,0,0,-1,0,Missing rights
www.eqcre.com,0,1,1,0,1,0,0,0,
www.libertyproperty.com,0,1,0,0,0,-1,-1,-1,Missing key components
www.telus.com,0,1,-1,0,0,-1,-1,-1,Missing key components
www.navidea.com,0,1,0,0,0,-1,-1,-1,Missing key components
www.bostonti.com,0,1,0,0,0,-1,-1,-1,Missing key components
www.webcotube.com,1,/,/,/,/,/,/,/,
www.truecar.com,0,1,1,0,1,1,1,1,
www.spectraldx.com,0,1,0,0,0,0,0,0,
www.destinationmaternitycorp.com,0,1,0,0,0,0,0,0,
quinstreet.com,0,1,0,0,0,0,1,0,
www.wattswater.com,0,1,-1,0,0,0,1,0,Extensive data collection
www.adnas.com,0,1,0,0,1,0,1,1,Clear
www.fluidigm.com,0,1,0,0,0,1,1,1,
www.tsys.com,0,1,0,0,1,-1,-1,-1,Missing key components
new.abb.com,0,1,0,0,0,0,0,0,
www.urbanacorp.com,0,1,0,0,0,-1,0,0,
www.bp.com,0,1,0,0,0,0,0,0,
www.ugicorp.com,0,1,-1,0,-1,-1,-1,-1,Extensive uses
www.absolute.com,1,/,/,/,/,/,/,/,
www.carbonite.com,0,1,0,0,0,0,0,0,
www.jnj.com,0,1,0,0,0,0,0,0,
www.tearlab.com,0,1,0,0,0,0,-1,0,Missing rights
www.insight.com,0,1,0,0,-1,0,0,0,Extensive uses
www.hanover.com,0,1,-1,-1,-1,-1,-1,-1,Missing key components
www.detourgold.com,1,/,/,/,/,/,/,/,
www.acceleratediagnostics.com,0,1,0,0,1,1,0,1,
www.organigram.ca,0,1,1,0,1,1,1,1,Clear
www.highwoods.com,0,1,0,0,0,0,-1,0,Missing rights
www.bemis.com,0,1,1,0,1,1,1,1,
www.nytco.com,0,1,-1,0,-1,-1,-1,-1,Missing key components
www.usa-truck.com,0,1,-1,0,0,0,-1,-1,
www.wfscorp.com,1,/,/,/,/,/,/,/,
www.agios.com,0,1,-1,0,0,0,0,0,
www.inphi.com,0,1,-1,0,-1,0,-1,-1,Missing key components
www.acushnetholdingscorp.com,0,1,1,0,1,1,1,1,
eyepointpharma.com,0,1,0,0,1,1,-1,0,Missing rights
www.schoolspecialty.com,0,1,0,0,0,0,0,0,
www.alliedhpi.com,1,/,/,/,/,/,/,/,
www.benefitfocus.com,0,1,0,0,0,0,-1,0,Missing rights
www.yum.com,0,1,0,1,0,0,1,1,
www.ajg.com,0,1,1,0,1,1,1,1,
www.pqcorp.com,0,1,1,0,0,0,-1,0,Missing rights
www.scientificindustries.com,1,/,/,/,/,/,/,/,
www.lightpath.com,0,1,0,0,0,-1,-1,-1,Missing key components
www.sbgi.net,0,1,-1,0,0,0,0,0,Extensive data collection
www.cemtrex.com,0,1,-1,0,0,0,-1,-1,Missing rights
www.spragueenergy.com,0,1,0,0,0,0,-1,0,Missing rights
www.olin.com,0,1,0,0,0,0,1,1,Clear
www.cgi.com,0,1,0,0,0,0,-1,0,Missing rights
www.centerstatebank.com,1,/,/,/,/,/,/,/,
www.flexsteel.com,0,1,0,0,0,0,-1,0,Missing rights
www.lifewaykefir.com,0,1,0,0,0,0,0,0,
www.pacifichealthcareorganization.com,0,1,0,0,0,0,-1,0,Missing rights
www.simulations-plus.com,0,1,0,0,0,0,1,0,
www.neurometrix.com,0,1,0,0,0,0,-1,0,Missing rights
www.masonite.com,0,1,0,-1,0,0,0,0,Onerous on user
www.blackhillscorp.com,0,1,0,0,0,0,0,0,
www.quanex.com,0,1,0,0,0,-1,-1,-1,Missing key components
www.manulife.com,0,1,1,0,1,1,1,1,Clear
www.trex.com,0,1,0,0,0,0,0,0,
www.wfsinc.com,0,1,0,0,0,1,0,0,Third-party assurance
www.aa.com,0,1,-1,0,0,0,1,0,"Extensive data collection, unclear"
www.hancockwhitney.com,0,1,0,0,0,0,-1,0,"Missing rights, unclear"
www.patenergy.com,0,1,0,0,-1,-1,-1,-1,Missing key components
www.ctgcompanies.com,0,1,0,-1,0,0,-1,-1,Missing rights
www.emergentbiosolutions.com,0,1,0,0,0,-1,-1,-1,Missing key components
www.ewi.ca,1,/,/,/,/,/,/,/,
www.intgla.com,0,1,0,-1,0,0,-1,-1,"Onerous on user, missing rights"
www.fibria.com.br,1,/,/,/,/,/,/,/,
www.ctlc.com,0,1,0,0,0,0,0,0,
www.hemispheretv.com,1,/,/,/,/,/,/,/,
www.bcbcommunitybank.com,0,1,0,0,0,0,-1,0,Missing rights
www.cjenergy.com,0,1,0,0,-1,-1,-1,-1,Missing key components
www.immersion.com,0,1,0,0,1,0,1,1,
www.ourpets.com,0,1,0,0,0,0,0,0,
www.itg.com,1,/,/,/,/,/,/,/,
www.goodtimesburgers.com,1,/,/,/,/,/,/,/,
www.newresi.com,1,/,/,/,/,/,/,/,
www.returnenergyinc.com,1,/,/,/,/,/,/,/,
www.alcanna.com,0,1,0,0,1,1,1,1,Clear
www.starwoodpropertytrust.com,0,1,0,0,0,0,-1,0,Missing rights
investor.lantheus.com,0,1,0,0,-1,-1,-1,-1,Missing key components
www.quaintoak.com,0,1,0,0,1,0,-1,0,
www.westerngas.com,1,/,/,/,/,/,/,/,
www.greatplainsenergy.com,0,1,0,0,0,0,0,0,
