gvkey,conm,weburl,found,visible,paragraphs,words,fog,overall,tptrackingcookies
63501,E TRADE FINANCIAL CORP,us.etrade.com,1,1,62,3201,19.585896,.51110381,7
179534,VISA INC,usa.visa.com,1,0,1,59.540001,11.837566,-.29700208,9
32580,VICI PROPERTIES INC,viciproperties.com,1,1,25,2151,19.257311,-.10837314,0
185138,VISHAY PRECISION GROUP INC,vpgsensors.com,1,1,25,1772,16.872496,-.64001691,0
16608,WHITEHORSE FINANCE INC,whitehorsefinance.com,0,0,,,,,
13888,WMIH CORP,wmih-corp.com,0,0,,,,,0
19528,1347 PROPERTY INS HLDGS INC,www.1347pih.com,0,0,,,,,0
122519,1-800-FLOWERS.COM,www.1800flowers.com,1,1,66,4795,18.809347,.72096854,15
65406,PETMED EXPRESS INC,www.1800petmeds.com,1,0,9,707,13.735155,-.28243086,0
16821,FIRST BANCORP P R,www.1firstbank.com,1,0,2,109,15.731464,-.405343,0
177646,1ST CAPITAL BANK,www.1stcapitalbank.com,1,1,11,624,16.659523,-.015820581,3
65467,1ST CONSTITUTION BANCORP,www.1stconstitution.com,1,1,12,333,16.524019,-.57940847,0
15199,1ST SOURCE CORP,www.1stsource.com,1,1,38,2820,16.791828,.00057964068,11
12886,TWENTY-FIRST CENTURY FOX INC,www.21cf.com,1,1,34,2596,17.570572,1.3203568,1
186876,21VIANET GROUP INC,www.21vianet.com,0,0,,,,,1
175994,TWO RIVERS WATER & FARMING,www.2riverswater.com,0,1,,,,,0
63169,DASSAULT SYSTEMS SA,www.3ds.com,1,1,68,3198,21.013784,1.1000049,1
14898,3D SYSTEMS CORP,www.3dsystems.com,1,1,103,4372,19.604445,1.135048,1
7435,3M CO,www.3m.com,1,1,70,4401,19.679266,1.4407271,12
19042,500.COM LTD  -ADR,www.500.com,0,0,,,,,3
160855,51JOB INC  -ADR,www.51job.com,0,0,,,,,0
27299,CHINA ONLINE EDUCATN GP -ADR,www.51talk.com,1,0,33,1602,21.831242,.42811796,1
4640,FIFTH THIRD BANCORP,www.53.com,1,1,47,2391,16.545918,.46008009,9
179163,5N PLUS INC,www.5nplus.com,1,1,9,328,17.580135,.49668732,0
17899,SEVEN GENERATIONS ENERGY LTD,www.7genergy.com,1,0,14,723,18.932344,.40598974,0
23287,8POINT3 ENERGY PARTNERS LP,www.8point3energypartners.com,0,0,,,,,0
33242,GREENTREE HPTY GP -ADS,www.998.com,0,0,,,,,0
28070,ADVANSIX INC,www.AdvanSix.com,1,1,37,2858,17.566904,.46988952,0
65905,BIOANALYTICAL SYSTEMS INC,www.BASinc.com,1,1,18,1076,19.350384,-.24957152,1
29552,BOARDWALK REAL ESTATE TRUST,www.BoardwalkREIT.com,1,1,6,299,13.6,-.36440825,
117018,CENTRAL FEDERAL CORP,www.CFBankonline.com,0,1,,,,,1
177734,CHINA ADVANCED CONSTR MATLS,www.China-ACM.com,0,0,,,,,0
185177,CORESITE REALTY CORP,www.CoreSite.com,1,1,36,2072,17.444567,-.29812345,7
16700,FRONT YARD RESIDENTIAL CORP,www.FrontYardResidential.com,1,1,29,1771,18.287846,.97576857,0
66285,HERITAGE FINANCIAL CORP,www.HF-WA.com,0,1,,,,,0
12717,ITUS CORP,www.ITUScorp.com,1,1,6,169,13.183728,-5.4977293,1
16890,INDEPENDENT BANK CORP/MI,www.IndependentBank.com,1,1,12,467,16.334095,-.3548263,3
22629,INFRAREIT INC,www.InfraREITInc.com,0,0,,,,,9
30004,INVITATION HOMES INC,www.InvitationHomes.com,1,1,23,2077,16.601366,.35260344,7
31385,JUNIATA VALLEY FINANCIAL CP,www.JVBonline.com,0,1,,,,,2
25283,KOHL'S CORP,www.Kohls.com,1,0,2,59.540001,15.333333,-.35454717,
110685,L3 TECHNOLOGIES INC,www.L3T.com,1,1,65,2428,20.400969,.52743614,0
25665,LTC PROPERTIES INC,www.LTCreit.com,1,1,20,984,16.2253,.18946578,0
16777,FIRST BANCORP/NC,www.LocalFirstBank.com,1,1,40,1669,14.137812,-.33011711,17
179666,LOGMEIN INC,www.LogMeInInc.com,1,1,39,2331,15.807742,.61387873,3
8692,POTLATCHDELTIC CORP,www.PotlatchDeltic.com,1,1,19,1145,19.744619,.23113088,0
17115,SELECTIVE INS GROUP INC,www.Selective.com,1,1,76,3504,15.688522,-.36578554,14
24233,STATE AUTO FINANCIAL CORP,www.StateAuto.com,1,1,15,692,15.341319,-.041785173,
20011,TIMKENSTEEL CORP,www.TimkenSteel.com,1,1,22,1625,17.433846,-.51652002,8
1045,AMERICAN AIRLINES GROUP INC,www.aa.com,1,1,107,5751,20.906921,1.5432907,
117861,AMERICAN AXLE & MFG HOLDINGS,www.aam.com,1,1,70,3824,17.871784,.16253744,12
21542,AAON INC,www.aaon.com,1,1,7,253,15.068417,-.44182006,0
1076,AARON'S INC,www.aarons.com,1,1,66,3737,17.049772,.19411346,21
1078,ABBOTT LABORATORIES,www.abbott.com,1,1,26,2091,19.093605,-.26745811,28
